path,remote_url,status
/mnt/external/ai-repos/mnt/repos/repos/hostedaugur/hosted/hosted,,invalid_layout
/mnt/external/ai-repos/mnt/repos/repos/hostedaugur/hosted/142950-github.com-ebay-zeta,,invalid_layout
/mnt/external/ai-repos/mnt/repos/repos/hostedaugur/hosted/138092-github.com-allinopensource--review-pull-requests-pollchowdhury,,invalid_layout
/mnt/external/ai-repos/mnt/repos/repos/hostedaugur/hosted/257882-github.com---test,,invalid_layout
/mnt/external/ai-repos/mnt/repos/repos/hostedaugur/hosted/287734-github.com-scilifelabdatacentre-kiarva-frontend,,invalid_layout
/mnt/external/ai-repos/mnt/repos/repos/hostedaugur/hosted/52565-github.com-microsoft--azure-data-services-go-fast-codebase-es-dmz,,invalid_layout
/mnt/external/ai-repos/mnt/repos/repos/hostedaugur/hosted/148074-gitlab.com-augurlabs-augur,,invalid_layout
/mnt/external/ai-repos/mnt/repos/repos/hostedaugur/hosted/25452-github.com-chaoss-whitepaper,,invalid_layout
/mnt/external/ai-repos/mnt/repos/repos/hostedaugur/hosted/210927-github.com-smallnest-iptv,,invalid_layout
/mnt/external/ai-repos/mnt/repos/repos/hostedaugur/hosted/uck,,invalid_layout
/mnt/external/ai-repos/mnt/repos/repos/hostedaugur/hosted/47371-github.com-azure--microsoft-defender-for-iot,,invalid_layout
/mnt/external/ai-repos/mnt/repos/repos/hostedaugur/hosted/287735-github.com-scilifelabdatacentre-kiarva-backend,,invalid_layout
/mnt/external/ai-repos/mnt/repos/repos/hostedaugur/hosted/138093-github.com-allinopensource---review-pull-requests-pollchowdhury,,invalid_layout
